1,user1,51,152
2,user2,19,131
3,user3,18,37
4,user4,32,320
5,user5,48,101
6,user6,56,289
7,user7,69,215
8,user8,44,239
9,user9,32,200
10,user10,77,295
11,user11,43,328
12,user12,78,104
13,user13,37,81
14,user14,43,277
15,user15,46,134
16,user16,83,77
17,user17,80,242
18,user18,18,321
19,user19,79,361
20,user20,62,344
21,user21,61,304
22,user22,36,179
23,user23,59,12
24,user24,57,165
25,user25,77,399
26,user26,57,114
27,user27,26,31
28,user28,43,317
29,user29,56,172
30,user30,17,180
31,user31,45,84
32,user32,84,158
33,user33,74,238
34,user34,52,269
35,user35,47,27
36,user36,48,346
37,user37,34,67
38,user38,29,6
39,user39,74,194
40,user40,62,76
41,user41,30,390
42,user42,83,229
43,user43,44,149
44,user44,83,203
45,user45,18,13
46,user46,34,129
47,user47,24,258
48,user48,34,195
49,user49,41,321
50,user50,24,27
51,user51,22,18
52,user52,35,60
53,user53,28,306
54,user54,36,388
55,user55,54,22
56,user56,83,305
57,user57,44,389
58,user58,18,320
59,user59,55,380
60,user60,77,346
61,user61,58,306
62,user62,84,216
63,user63,64,280
64,user64,41,241
65,user65,82,118
66,user66,21,365
67,user67,52,370
68,user68,39,143
69,user69,67,102
70,user70,54,375
71,user71,45,376
72,user72,35,170
73,user73,84,105
74,user74,25,267
75,user75,57,57
76,user76,41,383
77,user77,55,41
78,user78,57,309
79,user79,67,249
80,user80,67,50
81,user81,20,139
82,user82,77,27
83,user83,83,118
84,user84,24,57
85,user85,32,221
86,user86,67,388
87,user87,77,63
88,user88,36,243
89,user89,18,42
90,user90,31,118
91,user91,73,279
92,user92,55,210
93,user93,43,263
94,user94,63,100
95,user95,54,26
96,user96,48,315
97,user97,57,170
98,user98,84,154
99,user99,32,150
100,user100,54,88
101,user101,71,339
102,user102,60,194
103,user103,36,253
104,user104,55,233
105,user105,29,318
106,user106,21,224
107,user107,38,119
108,user108,60,172
109,user109,84,227
110,user110,37,207
111,user111,40,230
112,user112,79,322
113,user113,83,292
114,user114,41,50
115,user115,52,334
116,user116,72,328
117,user117,81,335
118,user118,69,46
119,user119,39,49
120,user120,24,226
121,user121,47,296
122,user122,71,342
123,user123,40,43
124,user124,31,233
125,user125,84,120
126,user126,77,228
127,user127,81,189
128,user128,18,308
129,user129,56,393
130,user130,57,317
131,user131,48,151
132,user132,44,53
133,user133,60,329
134,user134,62,255
135,user135,44,294
136,user136,84,177
137,user137,37,42
138,user138,42,273
139,user139,62,54
140,user140,43,378
141,user141,18,98
142,user142,63,182
143,user143,37,330
144,user144,57,207
145,user145,73,146
146,user146,78,315
147,user147,50,200
148,user148,63,33
149,user149,55,184
150,user150,50,297
151,user151,73,80
152,user152,18,114
153,user153,43,104
154,user154,33,242
155,user155,57,160
156,user156,65,238
157,user157,32,112
158,user158,33,306
159,user159,30,391
160,user160,60,181
161,user161,29,222
162,user162,45,353
163,user163,32,267
164,user164,51,342
165,user165,54,340
166,user166,45,200
167,user167,38,161
168,user168,32,164
169,user169,50,368
170,user170,20,357
171,user171,32,121
172,user172,24,20
173,user173,60,56
174,user174,54,271
175,user175,49,129
176,user176,52,294
177,user177,17,361
178,user178,59,26
179,user179,75,211
180,user180,26,373
181,user181,24,265
182,user182,23,361
183,user183,71,372
184,user184,84,284
185,user185,30,118
186,user186,61,166
187,user187,35,294
188,user188,50,323
189,user189,63,385
190,user190,55,280
191,user191,84,14
192,user192,57,222
193,user193,68,19
194,user194,54,71
195,user195,79,143
196,user196,40,237
197,user197,56,62
198,user198,71,6
199,user199,32,40
200,user200,68,328
201,user201,45,84
202,user202,22,298
203,user203,20,399
204,user204,53,274
205,user205,76,73
206,user206,68,334
207,user207,54,287
208,user208,50,340
209,user209,64,259
210,user210,22,283
211,user211,36,132
212,user212,37,309
213,user213,46,181
214,user214,45,200
215,user215,73,94
216,user216,59,43
217,user217,28,255
218,user218,47,14
219,user219,18,53
